,titles,ratings,prices,mrps,discounts
0,        Kurl-On Mattress |Spinel Ortho|Orthopedic Mattress|5-Inch Double Size Mattress |72x48x5 Inches Firm Support | Bonded Foam Mattres.       ,4.0 out of 5 stars,"9,547.","12,399",N/A
1,        The Sleep Company SmartGRID Orthopedic Pro - Doctor Recommended | Pressure Relieving | Scientifically Proven 5 Zone Support | 6 Inch Single Size AIHA Certified Firm Mattress for Back Pain | 75x36       ,4.6 out of 5 stars,"15,500.","25,833",N/A
2,"        SleepyHug AirCell Ortho Dual Comfort Plus Orthopedic Mattress with Reversible Hard & Soft Foam 6 inch Mattress AirCell Tech, Ideal for Single Bed, Back Pain Relief, Tape-Edge Cover, (78x36x6)       ",4.6 out of 5 stars,"7,340.","8,882",N/A
